Year	Month	DayofMonth	DayOfWeek	DepTime	CRSDepTime	UniqueCarrier	FlightNum	TailNum	Origin	Dest	Distance	TaxiIn	!IsArrDelayed-yes	!IsArrDelayed-no
1997	12	12	5	1800.0	1800	CO	1206	1.78985436419	MDW	CLE	307.0	4.0	1.0	0.0
2005	7	2	6	740.0	745	XE	2573	1.78985436419	IAH	BNA	657.0	4.0	0.0	1.0
1990	7	1	7	1225.0	1215	US	683	1.78985436419	BWI	DEN	1491.0	6.53945398261	0.0	1.0
2005	9	14	3	1240.0	1240	WN	1181	1.78985436419	FLL	MDW	1166.0	2.0	0.0	1.0
2003	2	22	6	1232.0	1230	AA	2959	1.78985436419	PHL	STL	813.0	8.0	1.0	0.0
2003	7	23	3	1511.0	1515	CO	1137	1.78985436419	EWR	DFW	1372.0	5.0	0.0	1.0
2002	7	18	4	2040.0	2010	WN	2369	1.78985436419	RNO	SEA	564.0	4.0	1.0	0.0
1992	1	7	2	2009.0	2012	UA	1617	1.78985436419	MDT	ORD	594.0	6.53945398261	0.0	1.0
1995	8	20	7	1600.0	1600	US	1023	1.78985436419	PHL	MIA	1013.0	5.0	0.0	1.0
2003	10	3	5	1100.0	1101	MQ	4061	1.78985436419	ORD	GRR	137.0	2.0	1.0	0.0
2002	8	15	4	1532.0	1535	DL	1658	1.78985436419	IND	ATL	432.0	6.0	0.0	1.0
1997	11	7	5	1324.0	1315	AA	625	1.78985436419	MSY	MIA	674.0	13.0	1.0	0.0
1996	9	5	4	654.0	654	AA	837	1.78985436419	BHM	DFW	597.0	11.0	0.0	1.0
2006	6	5	1	622.0	622	MQ	4360	1.78985436419	BNA	ORD	409.0	2.0	0.0	1.0
2004	11	19	5	2212.0	2150	OO	3688	1.78985436419	SLC	PIH	150.0	2.0	1.0	0.0
2001	12	10	1	1438.0	1330	NW	1498	1.78985436419	DTW	ROC	296.0	6.0	1.0	0.0
2003	12	20	6	1803.0	1756	AA	522	1.78985436419	ORD	EWR	719.0	8.0	0.0	1.0
1994	4	26	2	623.0	625	UA	807	1.78985436419	CLE	ORD	316.0	6.53945398261	0.0	1.0
1995	5	16	2	1748.0	1735	UA	1621	1.78985436419	DAY	ORD	240.0	5.0	1.0	0.0
1997	4	18	5	745.0	745	WN	677	1.78985436419	MCI	BNA	491.0	3.0	0.0	1.0
1993	12	17	5	2120.0	2120	DL	1881	1.78985436419	SLC	SJC	585.0	6.53945398261	0.0	1.0
2003	7	7	1	1455.0	1430	FL	24	1.78985436419	ATL	MDW	590.0	6.0	1.0	0.0
2000	10	6	5	1220.0	1215	WN	1726	1.78985436419	RNO	PHX	601.0	3.0	0.0	1.0
1993	7	1	4	701.0	700	US	155	1.78985436419	MCO	MIA	193.0	6.53945398261	0.0	1.0
1993	7	16	5	957.0	1000	UA	177	1.78985436419	BOS	LAX	2611.0	6.53945398261	0.0	1.0
1996	11	10	7	1520.0	1520	US	101	1.78985436419	CLT	SEA	2279.0	5.0	1.0	0.0
2000	1	9	7	1648.0	1645	WN	370	1.78985436419	DAL	ELP	562.0	2.0	1.0	0.0
2008	11	1	6	1629.0	1635	OO	6470	1.78985436419	LAX	SLC	590.0	2.0	0.0	1.0
1995	12	2	6	910.0	910	DL	699	1.78985436419	CVG	SAV	515.0	4.0	0.0	1.0
2002	6	2	7	1620.0	1615	UA	789	1.78985436419	EWR	DEN	1605.0	12.0	1.0	0.0
1997	11	17	1	1842.0	1820	UA	907	1.78985436419	EWR	DEN	1605.0	5.0	1.0	0.0
2008	1	11	5	1758.0	1610	AS	801	1.78985436419	BOS	PDX	2537.0	3.0	1.0	0.0
2005	11	19	6	1620.0	1600	AA	2478	1.78985436419	SNA	DFW	1205.0	6.0	1.0	0.0
1998	2	14	6	2125.0	2125	HP	2300	1.78985436419	LAX	LAS	236.0	5.0	0.0	1.0
1995	9	2	6	812.0	810	CO	167	1.78985436419	BOS	IAH	1597.0	9.0	0.0	1.0
1996	7	20	6	1100.0	1100	WN	348	1.78985436419	STL	MDW	251.0	2.0	0.0	1.0
2002	3	9	6	915.0	855	WN	1305	1.78985436419	ISP	TPA	1034.0	5.0	0.0	1.0
1995	9	11	1	1146.0	1150	NW	1504	1.78985436419	RNO	MSP	1406.0	8.0	0.0	1.0
1988	9	13	2	1049.0	1049	EA	363	1.78985436419	ATL	MOB	302.0	6.53945398261	0.0	1.0
2005	2	28	1	1130.0	1130	WN	1699	1.78985436419	TPA	RDU	587.0	4.0	0.0	1.0
2007	5	31	4	1935.0	1715	WN	590	1.78985436419	OMA	MDW	423.0	6.0	1.0	0.0
1989	11	19	7	2100.0	2100	CO	129	1.78985436419	LGA	IAH	1416.0	6.53945398261	0.0	1.0
1989	3	12	7	1112.0	1110	PI	1879	1.78985436419	CAE	EWR	602.0	6.53945398261	1.0	0.0
2008	6	12	4	758.0	800	B6	1051	1.78985436419	JFK	PIT	340.0	3.0	1.0	0.0
1997	7	31	4	1159.0	1150	AA	1399	1.78985436419	ORD	MSP	334.0	4.0	1.0	0.0
2004	11	27	6	1555.0	1537	MQ	4137	1.78985436419	ORD	EVV	273.0	3.0	1.0	0.0
2004	8	11	3	2110.0	2110	OH	5880	1.78985436419	CVG	OKC	756.0	3.0	0.0	1.0
1988	6	25	6	2205.0	2038	EA	906	1.78985436419	MCO	BDL	1050.0	6.53945398261	1.0	0.0
1998	7	13	1	1156.0	1200	AA	325	1.78985436419	LGA	ORD	733.0	12.0	1.0	0.0
1996	11	4	1	848.0	850	CO	465	1.78985436419	ORD	IAH	925.0	6.0	1.0	0.0
1995	8	29	2	1530.0	1530	US	706	1.78985436419	SYR	PHL	228.0	6.0	0.0	1.0
1990	10	31	3	1635.0	1610	AS	66	1.78985436419	CDV	YAK	213.0	6.53945398261	1.0	0.0
1989	3	4	6	1510.0	1510	CO	805	1.78985436419	BTV	EWR	266.0	6.53945398261	1.0	0.0
2006	9	3	7	2307.0	2310	EV	4295	1.78985436419	ATL	AGS	143.0	3.0	0.0	1.0
2000	10	9	1	1058.0	1100	NW	581	1.78985436419	MCO	MSP	1310.0	11.0	0.0	1.0
1997	3	22	6	724.0	720	US	1400	1.78985436419	ALB	PIT	367.0	5.0	0.0	1.0
1990	6	6	3	1615.0	1615	WN	140	1.78985436419	HOU	DAL	239.0	6.53945398261	0.0	1.0
2000	8	2	3	1800.0	1715	AA	1866	1.78985436419	MIA	ORD	1197.0	6.0	1.0	0.0
1995	2	11	6	1256.0	1250	AA	1045	1.78985436419	FLL	DFW	1119.0	8.0	0.0	1.0
2008	6	14	6	625.0	630	F9	627	1.78985436419	DEN	DTW	1123.0	8.0	0.0	1.0
2002	1	19	6	1311.0	1300	WN	1421	1.78985436419	LAX	PHX	370.0	5.0	0.0	1.0
2005	3	31	4	1350.0	1400	OO	6724	1.78985436419	PSC	DEN	853.0	4.0	0.0	1.0
2003	6	22	7	911.0	910	UA	1140	1.78985436419	SEA	ORD	1721.0	4.0	0.0	1.0
2007	12	31	1	1049.0	837	YV	7242	1.78985436419	IAD	SAV	515.0	3.0	1.0	0.0
2008	10	21	2	628.0	630	9E	5815	1.78985436419	ATW	DTW	297.0	20.0	1.0	0.0
1994	6	12	7	800.0	800	WN	14	1.78985436419	MSY	HOU	303.0	6.53945398261	0.0	1.0
2007	8	3	5	1827.0	1755	WN	2733	1.78985436419	MDW	TPA	997.0	4.0	1.0	0.0
2005	6	22	3	2114.0	2115	AS	203	1.78985436419	SFO	PDX	550.0	6.0	0.0	1.0
2000	7	20	4	2228.0	2230	TW	926	1.78985436419	LAX	SJU	3386.0	4.0	1.0	0.0
1994	9	4	7	1929.0	1931	UA	673	1.78985436419	DEN	OAK	957.0	6.53945398261	0.0	1.0
2008	10	18	6	2155.0	2207	US	1692	1.78985436419	CLT	SYR	603.0	5.0	0.0	1.0
2005	10	18	2	800.0	805	UA	831	1.78985436419	ORD	SFO	1846.0	4.0	0.0	1.0
1991	7	31	3	156.0	147	HP	384	1.78985436419	LAS	SEA	866.0	6.53945398261	0.0	1.0
2004	2	6	5	824.0	825	HP	145	1.78985436419	ORD	LAS	1515.0	5.0	0.0	1.0
2000	2	22	2	2100.0	2100	UA	1096	1.78985436419	ORD	PVD	849.0	4.0	1.0	0.0
2007	3	21	3	1300.0	1300	B6	435	1.78985436419	BOS	MCO	1121.0	8.0	0.0	1.0
1988	2	21	7	935.0	920	NW	397	1.78985436419	MSP	SMF	1518.0	6.53945398261	1.0	0.0
1997	8	25	1	1647.0	1645	UA	2069	1.78985436419	EUG	SFO	451.0	3.0	0.0	1.0
1994	1	6	4	1644.0	1632	TW	505	1.78985436419	BWI	STL	737.0	6.53945398261	1.0	0.0
2002	6	17	1	1353.0	1350	US	993	1.78985436419	PHL	ATL	665.0	5.0	1.0	0.0
1988	3	30	3	1837.0	1840	UA	462	1.78985436419	SEA	ANC	1449.0	6.53945398261	1.0	0.0
1996	3	11	1	1345.0	1345	WN	1039	1.78985436419	BNA	MDW	395.0	2.0	0.0	1.0
1998	4	13	1	2202.0	2155	DL	1683	1.78985436419	SLC	GEG	546.0	7.0	1.0	0.0
1998	2	1	7	2047.0	2045	DL	1783	1.78985436419	DFW	LAX	1235.0	17.0	1.0	0.0
2000	12	27	3	2154.0	2100	US	1433	1.78985436419	PIT	ATL	526.0	5.0	1.0	0.0
1990	1	6	6	835.0	833	AA	7	1.78985436419	STL	DFW	700.470041334	6.53945398261	0.0	1.0
1993	9	30	4	658.0	700	CO	628	1.78985436419	GSO	EWR	446.0	6.53945398261	0.0	1.0
2000	3	17	5	1220.0	1221	US	448	1.78985436419	PWM	PHL	365.0	12.0	1.0	0.0
1998	12	9	3	1838.0	0	AA	392	1.78985436419	DFW	IAD	1172.0	6.0	0.0	1.0
2005	2	13	7	1333.0	1337	DL	1669	1.78985436419	ATL	IND	432.0	8.0	0.0	1.0
1997	5	15	4	1827.0	1825	UA	302	1.78985436419	DEN	EWR	1605.0	7.0	1.0	0.0
2005	6	20	1	1415.0	1420	TZ	4585	1.78985436419	PHX	OGG	2845.0	5.0	0.0	1.0
2008	2	18	1	1105.0	1100	DL	1685	1.78985436419	ATL	MSY	425.0	8.0	1.0	0.0
2004	2	13	5	1357.0	1400	UA	1007	1.78985436419	LGA	ORD	733.0	5.0	0.0	1.0
1997	4	18	5	2150.0	2135	DL	284	1.78985436419	ATL	MIA	595.0	8.0	1.0	0.0
2001	7	3	2	905.0	905	NW	1451	1.78985436419	ORF	DTW	529.0	12.0	1.0	0.0
2004	7	8	4	957.0	1000	UA	1177	1.78985436419	ORD	IND	177.0	5.0	0.0	1.0
2005	8	29	1	1444.0	1435	TZ	4152	1.78985436419	MDW	BOS	861.0	5.0	1.0	0.0
2002	6	14	5	1937.0	1934	AA	1809	1.78985436419	DTW	DFW	987.0	13.0	0.0	1.0
2002	8	12	1	1524.0	1535	CO	114	1.78985436419	EWR	ANC	3370.0	14.0	0.0	1.0
2002	4	9	2	1813.0	1807	AA	2655	1.78985436419	RDU	STL	667.0	3.0	0.0	1.0
2000	7	12	3	646.0	645	UA	417	1.78985436419	DEN	SFO	967.0	7.0	0.0	1.0
1992	7	12	7	905.0	820	NW	744	1.78985436419	MSP	DTW	528.0	6.53945398261	1.0	0.0
1992	2	16	7	1755.0	1755	WN	575	1.78985436419	OAK	BUR	325.0	6.53945398261	0.0	1.0
2002	5	22	3	1130.0	1130	WN	267	1.78985436419	PHX	SAN	304.0	3.0	0.0	1.0
1992	11	1	7	1440.0	1430	DL	1704	1.78985436419	CVG	MSP	596.0	6.53945398261	1.0	0.0
1993	1	22	5	1732.0	1730	AA	1182	1.78985436419	SJU	EWR	1608.0	6.53945398261	0.0	1.0
1997	6	11	3	1107.0	1110	AA	181	1.78985436419	BOS	LAX	2611.0	7.0	0.0	1.0
2007	10	13	6	1306.0	1210	OO	2802	1.78985436419	MKE	BWI	641.0	9.0	1.0	0.0
1990	10	5	5	1219.0	1220	UA	612	1.78985436419	ORD	DCA	612.0	6.53945398261	0.0	1.0
2007	5	16	3	1515.0	1525	XE	218	1.78985436419	SAT	SMF	1463.0	5.0	0.0	1.0
1996	8	1	4	1505.0	1505	WN	717	1.78985436419	LAX	LAS	236.0	3.0	0.0	1.0
2003	1	3	5	1850.0	1810	US	804	1.78985436419	CLT	PHL	448.0	9.0	1.0	0.0
1988	3	11	5	1310.0	1259	EA	519	1.78985436419	MIA	LAX	2342.0	6.53945398261	1.0	0.0
1992	1	27	1	1943.0	1945	NW	668	1.78985436419	MEM	MCO	683.0	6.53945398261	1.0	0.0
2005	6	30	4	1842.0	1835	US	1792	1.78985436419	ATL	DCA	547.0	13.0	1.0	0.0
2004	7	29	4	2018.0	1847	MQ	3736	1.78985436419	TUL	DFW	237.0	8.0	1.0	0.0
2005	9	13	2	2003.0	1739	AA	878	1.78985436419	DFW	EWR	1372.0	4.0	1.0	0.0
1990	1	7	7	658.0	700	UA	578	1.78985436419	SJC	ORD	1829.0	6.53945398261	1.0	0.0
2001	9	13	4	1348.4081278	1740	NW	847	1.78985436419	ATL	MSP	906.0	0.0	1.0	0.0
1995	1	20	5	1527.0	1525	US	1424	1.78985436419	CLT	TRI	120.0	6.0	1.0	0.0
1997	3	13	4	1649.0	1649	AA	221	1.78985436419	PHL	ORD	678.0	8.0	0.0	1.0
1992	1	8	3	1402.0	1405	US	699	1.78985436419	BWI	ORF	159.0	6.53945398261	0.0	1.0
2002	10	31	4	1250.0	1259	MQ	3842	1.78985436419	XNA	DFW	281.0	7.0	0.0	1.0
2003	8	17	7	953.0	953	EV	4761	1.78985436419	ATL	MYR	317.0	3.0	0.0	1.0
1995	12	11	1	1102.0	1100	DL	294	1.78985436419	CVG	CLE	221.0	5.0	1.0	0.0
2004	10	5	2	806.0	810	NW	1841	1.78985436419	CLT	MSP	930.0	3.0	0.0	1.0
1994	5	10	2	1937.0	1940	CO	1769	1.78985436419	MDW	GSP	562.0	6.53945398261	0.0	1.0
2003	6	20	5	850.0	850	DL	1278	1.78985436419	RDU	ATL	356.0	12.0	0.0	1.0
2003	11	3	1	1854.0	1845	AA	177	1.78985436419	JFK	SFO	2586.0	3.0	1.0	0.0
2005	10	7	5	1414.0	1315	CO	1136	1.78985436419	DFW	EWR	1372.0	14.0	1.0	0.0
1996	2	13	2	1640.0	1644	DL	1130	1.78985436419	SLC	MSP	991.0	5.0	1.0	0.0
1988	1	4	1	830.0	830	AS	178	1.78985436419	PDX	PHX	1009.0	6.53945398261	0.0	1.0
2004	1	11	7	627.0	630	AA	786	1.78985436419	PHX	ORD	1440.0	7.0	0.0	1.0
1997	4	4	5	1415.0	1325	CO	242	1.78985436419	SJU	EWR	1608.0	7.0	1.0	0.0
2003	1	3	5	652.0	650	DL	2390	1.78985436419	TPA	JFK	1005.0	15.0	0.0	1.0
2005	1	20	4	1312.0	1310	DL	1536	1.78985436419	MCO	ATL	403.0	6.0	1.0	0.0
1990	11	7	3	849.0	850	US	743	1.78985436419	PIT	GSO	304.0	6.53945398261	0.0	1.0
1989	11	27	1	1508.0	1400	UA	1114	1.78985436419	LAX	SFO	337.0	6.53945398261	1.0	0.0
1990	10	24	3	644.0	645	DL	1039	1.78985436419	RIC	CVG	413.0	6.53945398261	0.0	1.0
2007	4	16	1	1348.4081278	1850	WN	956	0.0	LAS	MCI	1140.0	0.0	1.0	0.0
1995	5	26	5	1110.0	1110	US	2226	1.78985436419	CLT	MCO	468.0	5.0	0.0	1.0
1995	7	20	4	1705.0	1645	NW	861	1.78985436419	MSP	FAI	2466.0	5.0	1.0	0.0
1991	4	10	3	1348.4081278	740	US	1216	1.78985436419	MCI	STL	237.0	6.53945398261	1.0	0.0
1997	4	26	6	643.0	640	UA	1111	1.78985436419	EWR	DEN	1605.0	4.0	0.0	1.0
1997	11	11	2	1413.0	1415	CO	338	1.78985436419	ATL	EWR	745.0	7.0	0.0	1.0
2008	8	25	1	1129.0	1133	HA	167	1.78985436419	KOA	HNL	163.0	9.0	0.0	1.0
2002	3	7	4	2000.0	2000	WN	748	1.78985436419	ELP	PHX	347.0	2.0	0.0	1.0
2004	10	29	5	915.0	909	HP	122	1.78985436419	PHX	MKE	1460.0	6.0	0.0	1.0
1996	12	25	3	1300.0	1300	CO	315	1.78985436419	EWR	DCA	199.0	5.0	0.0	1.0
2000	6	21	3	700.0	635	US	1924	1.78985436419	ROC	DCA	296.0	7.0	1.0	0.0
2008	5	30	5	955.0	1000	YV	2633	1.78985436419	CLT	BNA	329.0	13.0	0.0	1.0
1991	6	1	6	1805.0	1805	WN	236	1.78985436419	AUS	DAL	189.0	6.53945398261	0.0	1.0
1991	10	1	2	1336.0	1336	DL	664	1.78985436419	ATL	IND	432.0	6.53945398261	0.0	1.0
2000	3	23	4	1805.0	1805	WN	1423	1.78985436419	PHX	ONT	325.0	5.0	0.0	1.0
2005	10	27	4	1348.4081278	2006	AA	2255	0.0	DCA	MIA	920.0	0.0	1.0	0.0
2007	10	13	6	1658.0	1655	WN	498	1.78985436419	PDX	OAK	543.0	6.0	0.0	1.0
2000	8	31	4	1804.0	1810	NW	1709	1.78985436419	AUS	MEM	559.0	4.0	0.0	1.0
2005	2	20	7	1741.0	1745	CO	237	1.78985436419	IAH	SAN	1303.0	3.0	0.0	1.0
2004	5	4	2	1049.0	1050	OH	5800	1.78985436419	CVG	IAD	388.0	10.0	0.0	1.0
2006	7	3	1	1647.0	1650	AA	1823	1.78985436419	DFW	SAT	247.0	2.0	0.0	1.0
2002	4	16	2	1003.0	1005	DL	925	1.78985436419	DCA	ATL	547.0	3.0	0.0	1.0
2003	9	25	4	1048.0	1040	MQ	3501	1.78985436419	DFW	HSV	603.0	3.0	1.0	0.0
2000	7	25	2	1522.0	1525	DL	298	1.78985436419	MCO	LGA	950.0	12.0	0.0	1.0
2001	6	14	4	1459.0	1445	DL	655	1.78985436419	CVG	ATL	373.0	7.0	1.0	0.0
1994	12	17	6	1206.0	1208	DL	1038	1.78985436419	ATL	AVL	164.0	6.53945398261	0.0	1.0
2003	5	11	7	825.0	825	WN	367	1.78985436419	SJC	SAN	417.0	1.0	0.0	1.0
1988	6	30	4	2006.0	1940	DL	1703	1.78985436419	SEA	JNU	909.0	6.53945398261	1.0	0.0
2000	1	11	2	1557.0	1555	DL	891	1.78985436419	ATL	MEM	332.0	5.0	1.0	0.0
1997	1	27	1	658.0	700	US	1179	1.78985436419	TRI	CLT	120.0	3.0	0.0	1.0
2007	10	19	5	1857.0	1900	9E	5883	1.78985436419	TVC	DTW	207.0	15.0	1.0	0.0
1994	10	22	6	2013.0	2012	AA	1794	1.78985436419	DFW	MEM	432.0	6.53945398261	0.0	1.0
1993	2	18	4	1606.0	1605	US	1071	1.78985436419	PHL	BTV	336.0	6.53945398261	1.0	0.0
1989	5	5	5	1611.0	1555	AA	459	1.78985436419	DFW	OAK	1456.0	6.53945398261	1.0	0.0
2003	7	21	1	1401.0	1355	B6	58	1.78985436419	PBI	JFK	1028.0	7.0	0.0	1.0
2006	3	16	4	1958.0	1940	NW	649	1.78985436419	EWR	DTW	487.0	9.0	1.0	0.0
2003	1	25	6	1215.0	1220	UA	1454	1.78985436419	DEN	DTW	1123.0	4.0	0.0	1.0
1996	8	30	5	1718.0	1715	UA	1458	1.78985436419	OAK	DEN	957.0	7.0	0.0	1.0
2004	10	22	5	846.0	845	UA	162	1.78985436419	LAX	BOS	2611.0	5.0	1.0	0.0
1993	3	27	6	2003.0	1945	CO	260	1.78985436419	EWR	ROC	246.0	6.53945398261	1.0	0.0
1994	10	24	1	945.0	945	US	1178	1.78985436419	DCA	ALB	318.0	6.53945398261	1.0	0.0
1995	9	5	2	1837.0	1840	CO	1556	1.78985436419	CHS	GSO	220.0	4.0	0.0	1.0
1988	6	28	2	830.0	830	UA	560	1.78985436419	ORD	DTW	235.0	6.53945398261	0.0	1.0
2002	8	14	3	2144.0	2135	DL	788	1.78985436419	ATL	ORF	516.0	7.0	1.0	0.0
2003	8	13	3	1734.0	1730	US	564	1.78985436419	RDU	PHL	336.0	4.0	0.0	1.0
2005	1	16	7	1821.0	1835	MQ	3352	1.78985436419	AMA	DFW	313.0	5.0	0.0	1.0
2006	7	17	1	1648.0	1650	WN	2161	1.78985436419	PHL	PBI	951.0	4.0	0.0	1.0
1989	1	23	1	710.0	710	US	238	1.78985436419	BTV	LGA	258.0	6.53945398261	0.0	1.0
2001	5	3	4	1423.0	1422	AA	1896	1.78985436419	DFW	IAD	1172.0	4.0	0.0	1.0
2007	7	8	7	1100.0	1057	YV	7042	1.78985436419	ORD	SAV	773.0	5.0	0.0	1.0
2005	1	15	6	1030.0	1015	US	803	1.78985436419	PHL	PBI	951.0	5.0	1.0	0.0
1988	2	14	7	1715.0	1700	NW	1278	1.78985436419	MSP	ORD	334.0	6.53945398261	1.0	0.0
2006	10	16	1	1755.0	1725	EV	4361	1.78985436419	AEX	ATL	500.0	19.0	1.0	0.0
1994	6	20	1	2012.0	1945	WN	59	1.78985436419	LIT	DAL	296.0	6.53945398261	1.0	0.0
1996	2	8	4	1114.0	1115	NW	648	1.78985436419	MSP	MKE	297.0	3.0	0.0	1.0
2006	8	2	3	700.0	700	DL	350	1.78985436419	ATL	BOS	946.0	8.0	1.0	0.0
2006	12	26	2	2119.0	1920	XE	2581	1.78985436419	EWR	TYS	631.0	4.0	1.0	0.0
2007	6	28	4	2337.0	2100	XE	2338	1.78985436419	EWR	RIC	278.0	5.0	1.0	0.0
2003	11	29	6	750.0	800	AA	33	1.78985436419	JFK	LAX	2475.0	6.0	0.0	1.0
1988	12	26	1	1330.0	1330	PI	1862	1.78985436419	BUF	JFK	301.0	6.53945398261	0.0	1.0
2006	4	2	7	1630.0	1610	WN	2660	1.78985436419	PHX	BUR	369.0	2.0	1.0	0.0
2003	10	21	2	1940.0	1940	UA	753	1.78985436419	ORD	IAH	925.0	2.0	0.0	1.0
1988	11	29	2	620.0	620	DL	1784	1.78985436419	SAN	LAX	109.0	6.53945398261	0.0	1.0
2001	6	4	1	2129.0	2135	NW	696	1.78985436419	DTW	CLE	95.0	5.0	0.0	1.0
1997	10	12	7	656.0	650	UA	1097	1.78985436419	GEG	ORD	1498.0	4.0	1.0	0.0
1994	6	24	5	1804.0	1805	NW	1046	1.78985436419	MSP	BDL	1050.0	6.53945398261	0.0	1.0
2008	3	3	1	859.0	850	WN	2552	1.78985436419	DEN	MDW	895.0	6.0	0.0	1.0
